prompt,label,category
"What is Python?",0,safe
"How does DNS work?",0,safe
"Explain how HTTPS protects web traffic.",0,safe
"What is an IP address?",0,safe
"How does a firewall work?",0,safe
"What is multi-factor authentication?",0,safe
"How does TCP differ from UDP?",0,safe
"What is a database?",0,safe
"What is an API?",0,safe
"What is encryption?",0,safe
"How does a VPN work?",0,safe
"What is the purpose of a proxy server?",0,safe
"How does a web browser communicate with a server?",0,safe
"What is a MAC address?",0,safe
"What is a port number?",0,safe
"What is the purpose of HTTP?",0,safe
"What is the difference between HTTP and HTTPS?",0,safe
"How does public key encryption work?",0,safe
"What is hashing used for?",0,safe
"What is a digital certificate?",0,safe
"How does authentication work?",0,safe
"What is authorization?",0,safe
"What is the difference between authentication and authorization?",0,safe
"What is a security policy?",0,safe
"What is an intrusion detection system?",0,safe
"What is an intrusion prevention system?",0,safe
"What is a SIEM?",0,safe
"What is a security log?",0,safe
"Why are software updates important for security?",0,safe
"What is vulnerability scanning?",0,safe
"How do penetration testers assess web applications?",0,security_discussion
"What is input validation?",0,security_discussion
"Why is input validation important for web applications?",0,security_discussion
"What security controls can protect an API?",0,security_discussion
"How can developers reduce prompt injection risks?",0,security_discussion
"What are common risks when deploying an LLM application?",0,security_discussion
"How can security teams monitor suspicious application activity?",0,security_discussion
"What is the principle of least privilege?",0,security_discussion
"Why should applications use access controls?",0,security_discussion
"How can organizations protect sensitive data?",0,security_discussion
"What is secure session management?",0,security_discussion
"How can developers securely handle user input?",0,security_discussion
"What is output validation?",0,security_discussion
"How can logging help detect security incidents?",0,security_discussion
"What is threat modeling?",0,security_discussion
"How can an organization reduce attack surface?",0,security_discussion
"What are common web application vulnerabilities?",0,security_discussion
"How does rate limiting improve application security?",0,security_discussion
"Why is authentication important for APIs?",0,security_discussion
"How can an application detect suspicious requests?",0,security_discussion
"How can security teams investigate unusual login activity?",0,security_discussion
"What is the purpose of security monitoring?",0,security_discussion
"How can organizations protect authentication endpoints?",0,security_discussion
"What is secure coding?",0,security_discussion
"Why should secrets be kept out of source code?",0,security_discussion
"How can applications protect against unauthorized access?",0,security_discussion
"What are common controls for protecting cloud applications?",0,security_discussion
"How can developers reduce accidental data exposure?",0,security_discussion
"What is application security testing?",0,security_discussion
"Why are security logs useful during incident response?",0,security_discussion
"How can organizations detect malicious input?",0,security_discussion
"Why is authorization important after authentication?",0,security_discussion
"How can developers secure API endpoints?",0,security_discussion
"What is a secure software development lifecycle?",0,security_discussion
"How can teams prioritize vulnerabilities?",0,security_discussion
"What is vulnerability management?",0,security_discussion
